[2026-07-06  9:25:02,18] Demarrage collecte tick OFI 

============================================================
TICK OFI COLLECTOR  (reqTickByTickData + Lee-Ready)
============================================================
Host/Port      : 192.168.0.103:7496
Client ID      : 98
Exchange       : ISLAND
Symbols ( 5)  : AAPL, MSFT, NVDA, AMZN, META
Tick rotation  : desactivee (5 <= 5)
Sample OFI     : toutes les 5.0s
Duration       : 395 min
Output OFI     : logs\tick_ofi\tick_ofi_20260706_092503.csv
Output ticks   : logs\tick_ofi\tick_raw_20260706_092503.csv
============================================================

[OK] Connecté à IB
[OK] L1 souscrit pour 5 symboles
[OK] Ticks actifs  : AAPL, MSFT, NVDA, AMZN, META
[INFO] Warmup 3s...

[RUN] OFI agrégé  : logs\tick_ofi\tick_ofi_20260706_092503.csv
[RUN] Ticks bruts : logs\tick_ofi\tick_raw_20260706_092503.csv

[RUN] 112.4min | ticks=285645 | grp1: AAPL ofi1m=+0.23 cnt=331 | MSFT ofi1m=+0.07 cnt=246 | NVDA ofi1m=-0.13 cnt=692
[RUN] 113.4min | ticks=286952 | grp1: AAPL ofi1m=+0.01 cnt=274 | MSFT ofi1m=-0.20 cnt=90 | NVDA ofi1m=+0.07 cnt=655
[RUN] 114.4min | ticks=288692 | grp1: AAPL ofi1m=+0.12 cnt=551 | MSFT ofi1m=+0.19 cnt=170 | NVDA ofi1m=+0.05 cnt=575
[RUN] 115.4min | ticks=290648 | grp1: AAPL ofi1m=+0.01 cnt=874 | MSFT ofi1m=+0.01 cnt=154 | NVDA ofi1m=+0.05 cnt=565
[RUN] 116.4min | ticks=292229 | grp1: AAPL ofi1m=-0.08 cnt=569 | MSFT ofi1m=-0.16 cnt=207 | NVDA ofi1m=-0.07 cnt=406
[RUN] 117.4min | ticks=293807 | grp1: AAPL ofi1m=-0.25 cnt=623 | MSFT ofi1m=-0.05 cnt=155 | NVDA ofi1m=+0.09 cnt=458
[RUN] 118.4min | ticks=295155 | grp1: AAPL ofi1m=+0.16 cnt=353 | MSFT ofi1m=+0.19 cnt=242 | NVDA ofi1m=+0.05 cnt=437
[RUN] 119.4min | ticks=296565 | grp1: AAPL ofi1m=-0.04 cnt=472 | MSFT ofi1m=+0.28 cnt=165 | NVDA ofi1m=+0.23 cnt=456
[RUN] 120.4min | ticks=298243 | grp1: AAPL ofi1m=+0.00 cnt=581 | MSFT ofi1m=+0.17 cnt=136 | NVDA ofi1m=-0.10 cnt=616
[RUN] 121.4min | ticks=300476 | grp1: AAPL ofi1m=+0.27 cnt=795 | MSFT ofi1m=-0.35 cnt=195 | NVDA ofi1m=+0.09 cnt=608
[RUN] 122.4min | ticks=302056 | grp1: AAPL ofi1m=-0.24 cnt=496 | MSFT ofi1m=+0.33 cnt=134 | NVDA ofi1m=-0.09 cnt=611
[RUN] 123.4min | ticks=303891 | grp1: AAPL ofi1m=+0.35 cnt=590 | MSFT ofi1m=-0.13 cnt=149 | NVDA ofi1m=+0.29 cnt=664
[RUN] 124.4min | ticks=305564 | grp1: AAPL ofi1m=+0.32 cnt=733 | MSFT ofi1m=-0.25 cnt=212 | NVDA ofi1m=-0.08 cnt=383
[RUN] 125.4min | ticks=307403 | grp1: AAPL ofi1m=-0.15 cnt=669 | MSFT ofi1m=+0.17 cnt=242 | NVDA ofi1m=-0.07 cnt=453
[RUN] 126.4min | ticks=308945 | grp1: AAPL ofi1m=+0.07 cnt=261 | MSFT ofi1m=+0.46 cnt=263 | NVDA ofi1m=-0.20 cnt=649
[RUN] 127.4min | ticks=310262 | grp1: AAPL ofi1m=-0.19 cnt=440 | MSFT ofi1m=-0.26 cnt=175 | NVDA ofi1m=-0.41 cnt=340
[RUN] 128.4min | ticks=311424 | grp1: AAPL ofi1m=+0.12 cnt=346 | MSFT ofi1m=+0.07 cnt=132 | NVDA ofi1m=+0.26 cnt=321
[RUN] 129.4min | ticks=312622 | grp1: AAPL ofi1m=+0.29 cnt=376 | MSFT ofi1m=+0.02 cnt=160 | NVDA ofi1m=+0.20 cnt=340
[RUN] 130.4min | ticks=314015 | grp1: AAPL ofi1m=-0.02 cnt=386 | MSFT ofi1m=+0.29 cnt=190 | NVDA ofi1m=+0.14 cnt=364
[RUN] 131.5min | ticks=315254 | grp1: AAPL ofi1m=-0.09 cnt=405 | MSFT ofi1m=+0.38 cnt=124 | NVDA ofi1m=+0.08 cnt=383
[RUN] 132.5min | ticks=316944 | grp1: AAPL ofi1m=+0.37 cnt=386 | MSFT ofi1m=+0.68 cnt=127 | NVDA ofi1m=+0.03 cnt=562
[RUN] 133.5min | ticks=318603 | grp1: AAPL ofi1m=-0.03 cnt=440 | MSFT ofi1m=-0.18 cnt=240 | NVDA ofi1m=+0.33 cnt=665
[RUN] 134.5min | ticks=320055 | grp1: AAPL ofi1m=+0.50 cnt=792 | MSFT ofi1m=+0.44 cnt=106 | NVDA ofi1m=+0.11 cnt=278
