[2026-07-08  9:25:01,92] Demarrage collecte tick OFI 

============================================================
TICK OFI COLLECTOR  (reqTickByTickData + Lee-Ready)
============================================================
Host/Port      : 192.168.0.103:7496
Client ID      : 98
Exchange       : ISLAND
Symbols ( 5)  : AAPL, MSFT, NVDA, AMZN, META
Tick rotation  : desactivee (5 <= 5)
Sample OFI     : toutes les 5.0s
Duration       : 395 min
Output OFI     : logs\tick_ofi\tick_ofi_20260708_092502.csv
Output ticks   : logs\tick_ofi\tick_raw_20260708_092502.csv
============================================================

[OK] Connecté à IB
[OK] L1 souscrit pour 5 symboles
[OK] Ticks actifs  : AAPL, MSFT, NVDA, AMZN, META
[INFO] Warmup 3s...

[RUN] OFI agrégé  : logs\tick_ofi\tick_ofi_20260708_092502.csv
[RUN] Ticks bruts : logs\tick_ofi\tick_raw_20260708_092502.csv

[RUN] 120.3min | ticks=308819 | grp1: AAPL ofi1m=-0.08 cnt=622 | MSFT ofi1m=-0.54 cnt=238 | NVDA ofi1m=-0.15 cnt=1161
[RUN] 121.3min | ticks=311224 | grp1: AAPL ofi1m=-0.32 cnt=645 | MSFT ofi1m=-0.07 cnt=207 | NVDA ofi1m=-0.22 cnt=1084
[RUN] 122.3min | ticks=312901 | grp1: AAPL ofi1m=-0.25 cnt=444 | MSFT ofi1m=+0.68 cnt=151 | NVDA ofi1m=+0.01 cnt=778
[RUN] 123.3min | ticks=314854 | grp1: AAPL ofi1m=+0.19 cnt=377 | MSFT ofi1m=+0.49 cnt=122 | NVDA ofi1m=+0.12 cnt=1130
[RUN] 124.3min | ticks=316774 | grp1: AAPL ofi1m=-0.25 cnt=437 | MSFT ofi1m=+0.14 cnt=166 | NVDA ofi1m=-0.04 cnt=1031
[RUN] 125.3min | ticks=318902 | grp1: AAPL ofi1m=+0.49 cnt=414 | MSFT ofi1m=-0.28 cnt=272 | NVDA ofi1m=+0.29 cnt=799
[RUN] 126.3min | ticks=320830 | grp1: AAPL ofi1m=-0.20 cnt=357 | MSFT ofi1m=+0.12 cnt=241 | NVDA ofi1m=+0.32 cnt=843
[RUN] 127.3min | ticks=322414 | grp1: AAPL ofi1m=+0.01 cnt=430 | MSFT ofi1m=+0.03 cnt=141 | NVDA ofi1m=+0.04 cnt=687
[RUN] 128.4min | ticks=324465 | grp1: AAPL ofi1m=+0.11 cnt=409 | MSFT ofi1m=+0.51 cnt=156 | NVDA ofi1m=+0.15 cnt=1218
[RUN] 129.4min | ticks=325831 | grp1: AAPL ofi1m=+0.06 cnt=259 | MSFT ofi1m=+0.37 cnt=179 | NVDA ofi1m=+0.06 cnt=735
[RUN] 130.4min | ticks=327163 | grp1: AAPL ofi1m=+0.40 cnt=256 | MSFT ofi1m=-0.08 cnt=203 | NVDA ofi1m=+0.03 cnt=697
[RUN] 131.4min | ticks=328957 | grp1: AAPL ofi1m=-0.02 cnt=415 | MSFT ofi1m=+0.29 cnt=178 | NVDA ofi1m=+0.25 cnt=902
[RUN] 132.4min | ticks=330311 | grp1: AAPL ofi1m=-0.08 cnt=331 | MSFT ofi1m=+0.40 cnt=174 | NVDA ofi1m=+0.37 cnt=631
[RUN] 133.4min | ticks=332013 | grp1: AAPL ofi1m=+0.25 cnt=390 | MSFT ofi1m=+0.08 cnt=224 | NVDA ofi1m=+0.04 cnt=832
[RUN] 134.4min | ticks=333400 | grp1: AAPL ofi1m=+0.30 cnt=354 | MSFT ofi1m=+0.53 cnt=149 | NVDA ofi1m=-0.22 cnt=632
